"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R113,R78,R66,R73,R99,R67,R57,R64,R39,R60,R46,R114,R37,R86,R88,R70,R87,R29,R72,R112,R95,R121,R55,R34,R125,R107,R96,R119,R38,R85,R32,R63,R31,R56,R83,R42,R49,R82,R65,R111,R123,R61,R108,R52,R104,R97,R35,R51,R100,R68,R103,R27,R92,R127,R102,R59,R79,R45,R33,R101,R50,R44,R116,R129,R58,R81,R84,R48,R115,R47,R89,R110,R105,R36,R128,R93,R76,R28,R118,R71,R122,R91,R74,R124,R53,R62,R43,R126,R54,R94,R90,R30,R117,R106,R98,R41,R69,R80,R75,R40,R77,R26,R120,R109,R13,R8,R10,R23,R7,R6,R12,R24,R9,R11";"R_0402_1005Metric";114;"10k";;;
2;"J33,J31,J25,J17,J23,J15,J9,J7";"PinSocket_1x06_P1.27mm_Vertical";8;"Samtec RSM-106-02-L-S";;;
3;"J21,J3,J29,J19,J5,J13,J11,J27";"PinSocket_1x05_P1.27mm_Vertical";8;"Samtec RSM-105-02-L-S";;;
4;"J4,J12,J34,J10,J22,J18,J30,J28,J26,J14,J32,J6,J8,J24,J20,J16";"PinSocket_1x04_P1.27mm_Vertical";16;"Samtec RSM-104-02-L-S";;;
5;"C11,C6,C15,C22,C3,C18,C5,C12,C10,C9,C4,C16,C19,C14,C17";"C_0603_1608Metric";15;"100 nF";;;
6;"C8,C13";"C_0805_2012Metric";2;"1 µF";;;
7;"R21,R20";"R_0402_1005Metric";2;"2k2";;;
8;"R3";"R_0402_1005Metric";1;"27.4k";;;
9;"C23,C20";"C_0805_2012Metric";2;"2.2 µF";;;
10;"C2";"C_1206_3216Metric";1;"22 µF";;;
11;"J2";"PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right";1;"Harwin M20-8770446";;;
12;"C1,C7";"C_0805_2012Metric";2;"4.7 µF";;;
13;"U7,U2,U4,U6,U5";"TSSOP-16_4.4x5mm_P0.65mm";5;"Nexperia 74HC165PW,118";;;
14;"L1";"L_CommonMode_Wurth_WE-CNSW-1206";1;"Wuerth 744232090";;;
15;"Y1";"OSC_CX2016DB26000H0FLJC2";1;"Kyocera CX2016DB26000H0FLJC2";;;
16;"L2";"L_0805_2012Metric";1;"2.2 µH";;;
17;"U3";"LQFP-100_14x14mm_P0.5mm";1;"STM32F401VET6";;;
18;"FB1";"L_0603_1608Metric";1;"Laird HZ0603C651R-10";;;
19;"R15,R14,R18,R22,R19";"R_0402_1005Metric";5;"100";;;
20;"R16,R17";"R_0402_1005Metric";2;"47";;;
21;"R2,R1,R4";"R_0402_1005Metric";3;"22";;;
22;"C21,C24";"C_0603_1608Metric";2;"18 pF";;;
23;"U1";"SOT50P160X60-8N";1;"TPS629210DRLR";;;
24;"SW1";"SW_DIP_SPSTx07_Slide_6.7x19.34mm_W6.73mm_P2.54mm_LowProfile_JPin";1;"CTS 219-7LPSTR";;;
25;"R25";"R_0402_1005Metric";1;"220";;;
26;"D1";"SOT192P237X122-4N";1;"TPD2E001DZDR";;;
27;"R5";"R_0402_1005Metric";1;"100k";;;
28;"J1";"PinHeader_2x08_P2.54mm_Vertical_SMD";1;"Harwin M20-8760846";;;
